#{"t_start": 1765351638.8422217, "env_id": "None"}
r,l,t
-18.0,2170,964.559247
-20.0,1835,969.734198
-16.0,2098,975.686322
-18.0,1477,979.744474
-18.0,1647,984.294369
-16.0,2108,990.074207
-19.0,2033,995.738445
-14.0,2144,1001.642565
-18.0,1954,1006.981271
-16.0,1965,1012.36757
-16.0,1716,1017.119461
-13.0,2549,1024.065119
-8.0,2441,1030.782057
-18.0,1649,1035.375108
-15.0,2436,1042.971109
-18.0,2235,1049.135351
-19.0,1672,1054.092516
-16.0,2062,1060.130144
-17.0,2404,1066.918244
-16.0,1888,1072.949323
-18.0,1514,1077.274135
-8.0,2601,1084.614765
-18.0,1556,1089.035408
-14.0,1926,1094.372474
-16.0,1902,1100.473045
-17.0,1977,1106.071096
-16.0,1840,1111.192383
-18.0,1935,1116.740431
-17.0,1955,1122.280546
-16.0,1862,1127.44082
-18.0,1810,1132.452491
-15.0,2340,1138.867161
-12.0,2580,1146.04196
-10.0,2544,1153.913957
-17.0,2277,1160.147116
-18.0,1825,1165.079033
-16.0,1771,1170.105069
-14.0,2194,1176.239072
-17.0,1822,1181.29283
-14.0,2125,1187.975393
-15.0,2403,1194.452663
-16.0,2197,1200.357208
-16.0,1766,1205.156155
-14.0,2244,1212.113479
-17.0,1881,1217.358064
-16.0,2266,1223.709323
-18.0,1677,1228.393693
-18.0,1478,1232.49086
-18.0,1701,1237.145449
-17.0,1930,1243.45603
-16.0,1973,1249.18578
-16.0,1880,1255.028033
-8.0,2919,1263.844401
-13.0,2228,1271.347986
-18.0,1746,1276.621548
-16.0,1738,1281.818793
-19.0,2092,1287.848535
-16.0,1967,1293.601054
-14.0,1992,1300.605747
-18.0,2263,1307.168716
-11.0,2624,1314.625117
-17.0,1635,1319.160125
-17.0,2011,1324.871497
-16.0,1968,1331.610106
-14.0,2209,1337.718038
-18.0,1557,1341.89222
-11.0,2978,1350.028677
-9.0,2516,1356.798575
-16.0,1786,1362.513605
-12.0,2433,1369.089609
-14.0,2371,1375.57172
-18.0,1523,1379.764959
-17.0,1776,1384.822643
-16.0,2124,1392.746943
-17.0,2025,1398.268157
-16.0,2483,1404.984431
-15.0,1985,1410.241106
-16.0,2450,1417.60211
-13.0,2370,1424.139027
-16.0,2039,1429.546806
-10.0,2792,1436.996098
-20.0,1637,1441.33767
-19.0,1446,1446.218905
-13.0,2334,1452.400146
-18.0,2199,1458.318861
-14.0,2357,1464.632329
-11.0,2679,1472.795477
-11.0,2515,1479.499444
-10.0,2382,1485.889641
-18.0,1658,1490.420725
-16.0,1852,1495.582987
-17.0,2009,1501.916207
-21.0,1715,1506.620627
-14.0,2051,1512.188951
-8.0,2833,1519.924846
-15.0,2348,1527.189035
-20.0,1359,1530.799846
-14.0,1995,1536.12724
-10.0,2657,1543.290327
-12.0,2274,1549.433275
-14.0,2303,1556.4559
-13.0,1928,1561.641397
-18.0,1893,1566.79321
-15.0,2000,1572.124672
-16.0,1870,1577.157319
-12.0,2398,1584.645608
-19.0,1813,1589.675833
-19.0,1801,1594.607284
-16.0,2059,1600.380934
-15.0,2488,1607.380754
-18.0,2148,1614.567584
-14.0,2295,1621.288041
-18.0,1404,1625.396371
-9.0,2827,1634.054284
-11.0,2850,1642.430679
-10.0,2750,1650.692736
-19.0,1655,1655.746498
-19.0,1847,1661.262203
-16.0,1826,1666.672647
-16.0,1805,1672.649598
-15.0,1768,1677.771351
-15.0,2176,1683.985426
-16.0,2471,1690.994973
-12.0,2495,1697.954188
-19.0,1793,1702.828311
-13.0,2275,1708.920315
-17.0,1964,1714.325352
-14.0,2276,1720.410296
-15.0,1921,1725.662548
-18.0,1714,1731.321486
-19.0,1692,1736.109521
-10.0,2598,1743.289738
-14.0,2023,1748.85554
-20.0,1558,1753.025315
-14.0,2033,1758.546382
-17.0,1828,1763.469089
-14.0,2394,1769.847688
-15.0,2439,1776.36937
-14.0,1813,1781.241945
-14.0,2339,1787.512102
-15.0,2233,1793.460147
-12.0,2516,1800.178096
-16.0,2218,1806.214237
